id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,product_type,visibility,status,additional_image_link
when-johnny-comes-marching-home-arr-brian-streckfus,When Johnny Comes Marching Home (arr. Brian Streckfus),Sheet music by Patrick Gilmore. When Johnny Comes Marching Home (arr. Brian Streckfus). Difficulty: Intermediate. Category: traditional.,in stock,new,2.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1699858/Product.aspx,https://brianstreckfus.com/img/previews/When_Johnny_Comes_Marching_Home.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
composing-melodies-arr-brian-streckfus,Composing Melodies (arr. Brian Streckfus),Sheet music by Brian Streckfus. Composing Melodies (arr. Brian Streckfus). Difficulty: Intermediate. Category: theory.,in stock,new,4.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1699376/Product.aspx,https://brianstreckfus.com/img/previews/Composing_Melodies.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
59th-street-bridge-song-arr-brian-streckfus,The 59th Street Bridge Song (Feelin' Groovy) (arr. Brian Streckfus),Sheet music by Paul Simon. The 59th Street Bridge Song (Feelin' Groovy) (arr. Brian Streckfus). Difficulty: Intermediate. Category: folk.,in stock,new,2.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1695046/Product.aspx,https://brianstreckfus.com/img/previews/59th_Street_Bridge_Song.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
chopin-and-schumann-homage-arr-brian-streckfus,Chopin and Schumann Homage (arr. Brian Streckfus),Sheet music by Brian Streckfus. Chopin and Schumann Homage (arr. Brian Streckfus). Difficulty: Advanced. Category: classical.,in stock,new,5.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1690446/Product.aspx,https://brianstreckfus.com/img/previews/Chopin_And_Schumann_Homage.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
nature-boy-arr-brian-streckfus,Nature Boy (arr. Brian Streckfus),Sheet music by eden ahbez. Nature Boy (arr. Brian Streckfus). Difficulty: Intermediate. Category: jazz.,in stock,new,3.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1680391/Product.aspx,https://brianstreckfus.com/img/previews/Nature_Boy.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
let-her-go-arr-brian-streckfus,Let Her Go (arr. Brian Streckfus),Sheet music by Mike Rosenberg. Let Her Go (arr. Brian Streckfus). Difficulty: Intermediate. Category: popular.,in stock,new,4.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1672325/Product.aspx,https://brianstreckfus.com/img/previews/Let_Her_Go.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
happy-xmas-war-is-over-arr-brian-streckfus,Happy Xmas (War Is Over) (arr. Brian Streckfus),"Sheet music by John Lennon, Yoko Ono. Happy Xmas (War Is Over) (arr. Brian Streckfus). Difficulty: Intermediate. Category: holiday.",in stock,new,2.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1672222/Product.aspx,https://brianstreckfus.com/img/previews/Happy_Xmas_War_Is_Over.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
ear-training-12-songs-arr-brian-streckfus,Ear Training 12 Songs (arr. Brian Streckfus),Sheet music by Brian Streckfus. Ear Training 12 Songs (arr. Brian Streckfus). Difficulty: Beginner. Category: ear training.,in stock,new,4.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1646832/Product.aspx,https://brianstreckfus.com/img/previews/Ear_Training_12_Songs.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
dreams-arr-brian-streckfus,Dreams (arr. Brian Streckfus),Sheet music by Stevie Nicks. Dreams (arr. Brian Streckfus). Difficulty: Intermediate. Category: popular folk.,in stock,new,4.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1638296/Product.aspx,https://brianstreckfus.com/img/previews/Dreams.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
a-whole-new-world-arr-brian-streckfus,A Whole New World (arr. Brian Streckfus),"Sheet music by Alan Menken, Tim Rice. A Whole New World (arr. Brian Streckfus). Difficulty: Intermediate. Category: film-score.",in stock,new,3.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1629463/Product.aspx,https://brianstreckfus.com/img/previews/A_Whole_New_World.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
scherzo-and-trio-arr-brian-streckfus,Scherzo and Trio (arr. Brian Streckfus),Sheet music by Brian Streckfus. Scherzo and Trio (arr. Brian Streckfus). Difficulty: Advanced. Category: classical.,in stock,new,5.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1621943/Product.aspx,https://brianstreckfus.com/img/previews/Scherzo_And_Trio.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
whats-up-arr-brian-streckfus,What's Up (arr. Brian Streckfus),Sheet music by Linda Perry. What's Up (arr. Brian Streckfus). Difficulty: Intermediate. Category: popular rock.,in stock,new,2.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1618031/Product.aspx,https://brianstreckfus.com/img/previews/Whats_Up.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
tequila-sunrise-arr-brian-streckfus,Tequila Sunrise (arr. Brian Streckfus),"Sheet music by Don Henley, Glenn Frey. Tequila Sunrise (arr. Brian Streckfus). Difficulty: Intermediate. Category: popular country rock.",in stock,new,4.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1593493/Product.aspx,https://brianstreckfus.com/img/previews/Tequila_Sunrise.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
chord-progression-generators-arr-brian-streckfus,Chord Progression Generators (arr. Brian Streckfus),Sheet music by Brian Streckfus. Chord Progression Generators (arr. Brian Streckfus). Difficulty: Beginner. Category: theory.,in stock,new,Check listing USD,https://www.sheetmusicdirect.com/se/ID_No/1593160/Product.aspx,https://brianstreckfus.com/img/previews/Chord_Progression_Generators.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
everlong-arr-brian-streckfus,Everlong (arr. Brian Streckfus),"Sheet music by Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett, Pat Smear. Everlong (arr. Brian Streckfus). Difficulty: Intermediate. Category: popular rock.",in stock,new,2.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1591054/Product.aspx,https://brianstreckfus.com/img/previews/Everlong.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
the-night-we-met-arr-brian-streckfus,The Night We Met (arr. Brian Streckfus),Sheet music by Benjamin Schneider. The Night We Met (arr. Brian Streckfus). Difficulty: Intermediate. Category: folk.,in stock,new,2.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1590989/Product.aspx,https://brianstreckfus.com/img/previews/The_Night_We_Met.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
waltz-no-2-op34-guitar-arr-brian-streckfus,Waltz No. 2 Op. 34 (Guitar) (arr. Brian Streckfus),Sheet music by Frederic Chopin. Waltz No. 2 Op. 34 (Guitar) (arr. Brian Streckfus). Difficulty: Advanced. Category: romantic classical.,in stock,new,5.99 USD,https://www.sheetmusicdirect.com/se/ID_No/190349/Product.aspx,https://brianstreckfus.com/img/previews/Waltz_No_2_Op_34.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
waltz-no-1-op57-guitar-arr-brian-streckfus,Waltz No. 1 Op. 57 (Guitar) (arr. Brian Streckfus),Sheet music by Mauro Giuliani. Waltz No. 1 Op. 57 (Guitar) (arr. Brian Streckfus). Difficulty: Intermediate. Category: classical.,in stock,new,Check listing USD,https://www.sheetmusicdirect.com/se/ID_No/1571443/Product.aspx,https://brianstreckfus.com/img/previews/Waltz_No_1_Op_57.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
mr-dowland-midnight-arr-brian-streckfus,Mr. Dowland's Midnight (arr. Brian Streckfus),Sheet music by John Dowland. Mr. Dowland's Midnight (arr. Brian Streckfus). Difficulty: Intermediate. Category: early.,in stock,new,4.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1569428/Product.aspx,https://brianstreckfus.com/img/previews/Mr_Dowlands_Midnight.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
moosehead-lake-arr-brian-streckfus,Moosehead Lake (arr. Brian Streckfus),Sheet music by Brian Streckfus. Moosehead Lake (arr. Brian Streckfus). Difficulty: Beginner. Category: traditional folk.,in stock,new,2.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1565246/Product.aspx,https://brianstreckfus.com/img/previews/Moosehead_Lake.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
the-north-wind-doth-blow-arr-brian-streckfus,The North Wind Doth Blow (arr. Brian Streckfus),Sheet music by Traditional English. The North Wind Doth Blow (arr. Brian Streckfus). Difficulty: Beginner. Category: traditional folk.,in stock,new,4.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1564393/Product.aspx,https://brianstreckfus.com/img/previews/The_North_Wind_Doth_Blow.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
dust-in-the-wind-arr-brian-streckfus,Dust in the Wind (arr. Brian Streckfus),Sheet music by Kerry Livgren. Dust in the Wind (arr. Brian Streckfus). Difficulty: Intermediate. Category: popular folk.,in stock,new,2.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1561009/Product.aspx,https://brianstreckfus.com/img/previews/Dust_In_The_Wind.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
please-please-me-arr-brian-streckfus,Please Please Me (arr. Brian Streckfus),"Sheet music by John Lennon, Paul McCartney. Please Please Me (arr. Brian Streckfus). Difficulty: Intermediate. Category: popular.",in stock,new,2.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1556995/Product.aspx,https://brianstreckfus.com/img/previews/Please_Please_Me.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
teardrops-on-my-guitar-arr-brian-streckfus,Teardrops On My Guitar (arr. Brian Streckfus),"Sheet music by Taylor Swift, Liz Rose. Teardrops On My Guitar (arr. Brian Streckfus). Difficulty: Intermediate. Category: popular country.",in stock,new,2.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1560655/Product.aspx,https://brianstreckfus.com/img/previews/Teardrops_On_My_Guitar.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
now-and-then-arr-brian-streckfus,Now and Then (arr. Brian Streckfus),"Sheet music by John Lennon, Paul McCartney, George Harrison, Ringo Starr. Now and Then (arr. Brian Streckfus). Difficulty: Intermediate. Category: popular.",in stock,new,3.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1549974/Product.aspx,https://brianstreckfus.com/img/previews/Now_And_Then.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
five-common-chords-arr-brian-streckfus,5 Common Chords (arr. Brian Streckfus),Sheet music by Brian Streckfus. 5 Common Chords (arr. Brian Streckfus). Difficulty: Beginner. Category: theory.,in stock,new,Check listing USD,https://www.sheetmusicdirect.com/se/ID_No/1469051/Product.aspx,https://brianstreckfus.com/img/previews/5_Common_Chords.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
both-sides-now-arr-brian-streckfus,Both Sides Now (arr. Brian Streckfus),Sheet music by Joni Mitchell. Both Sides Now (arr. Brian Streckfus). Difficulty: Intermediate. Category: folk popular.,in stock,new,2.99 USD,https://www.sheetmusicdirect.com/se/ID_No/1460880/Product.aspx,https://brianstreckfus.com/img/previews/Both_Sides_Now.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
off-kilter-grit-120-bpm-a-minor,Off Kilter Grit 120 BPM A minor,Sheet music by Traditional. Off Kilter Grit 120 BPM A minor. Difficulty: Intermediate. Category: mp3 audio.,in stock,new,1.99 USD,,https://brianstreckfus.com/img/mp3-placeholder.png,Brian Streckfus Productions,Media > Music,Media > Music,Audio > Recordings,published,active,
a-harmonic-minor-chord-progression-generator-for-guitar,A Harmonic Minor Chord Progression Generator for Guitar (small chords),Sheet music by Various. A Harmonic Minor Chord Progression Generator for Guitar (small chords). Difficulty: Intermediate. Category: theory.,in stock,new,4.99 USD,,https://brianstreckfus.com/img/previews/All Chord Progression Generators-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
inactive-harmonic-minor-chord-progression-generator-for-guitar,Inactive *** Harmonic Minor Chord Progression Generator for Guitar,Sheet music by Various. Inactive *** Harmonic Minor Chord Progression Generator for Guitar. Difficulty: Intermediate. Category: theory.,in stock,new,5.99 USD,,https://brianstreckfus.com/img/previews/All Chord Progression Generators (1)-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
study-no-2-d-dorian-mode,Study No. 2 D Dorian Mode,Sheet music by Various. Study No. 2 D Dorian Mode. Difficulty: Advanced. Category: theory.,in stock,new,4.99 USD,,https://brianstreckfus.com/img/previews/D_Dorian_1_Just_Melody_Version_2-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
eyes-open,Eyes Open,Sheet music by Various. Eyes Open. Difficulty: Intermediate. Category: popular.,in stock,new,2.99 USD,,https://brianstreckfus.com/img/previews/Eyes Open MASTER 4.1-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
d-egyptian-etude,D Egyptian Etude,Sheet music by Various. D Egyptian Etude. Difficulty: Advanced. Category: theory.,in stock,new,5.99 USD,,https://brianstreckfus.com/img/previews/Study - Dynamics - Brian Streckfus-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Media > Music,Sheet Music > Guitar > TAB,published,active,
